ga:productSku;ga:revenuePerItem
3109977;172.73
3111557;208.52
3113602;271.7
3114295;65.29
3114484;499.8
3115449;355.37
3116795;144.63
3118328;325.0
3120580;7.44
3121424;5.78
3121516;22.37
3122173;30.08
3122174;356.66
3122232;12.4
3125014;255.34
3128940;32.23
3130055;40.75
3130734;14.88
3130980;238.49
3131053;488.76
3131645;56.2
3132781;294.94
3132879;188.69
3132896;42.0
3136370;304.91
3137173;229.01
3137179;253.35
3141135;11.26
3141240;240.93
3146550;10.74
3148612;23.97
3149347;43.51
3153683;291.89
3153693;188.24
315470;28.95
3155119;185.95
3156575;561.75
3158842;50.85
3164880;40.5
319180;83.29
321914;93.16
328061;28.71
336397;243.25
352450;37.04
354977;158.96
360088;247.11
360922;11.89
364787;113.41
371195;386.84
378525;40.5
381422;45.0
384860;45.0
385321;44.23
386484;137.26
390575;27.14
397291;41.32
397328;37.19
397333;81.82
399822;171.91
S080501_500_30_EUR;0.98
