ga:productSku;ga:uniquePurchases
3108850;1
3109106;1
3114003;1
3114514;1
3115436;1
311623;1
3116370;1
3117420;1
3117421;1
3120534;1
3120660;1
3121446;1
3121588;1
3121592;1
3121611;1
3122446;1
3124126;1
3124232;1
3126231;1
3128571;1
3128921;1
3128959;1
3131036;1
3131657;1
3131687;1
3131845;1
3131846;1
3131852;1
3131922;3
3132750;1
3133080;1
3133987;1
3135944;1
3136289;1
3142251;1
3143615;1
3159935;1
3164880;2
317126;1
32166;1
322053;1
324432;1
324792;2
340579;1
340663;1
344475;1
356480;1
356763;1
372388;1
374823;1
378525;1
379158;1
379205;1
387607;1
394559;1
395202;1
396279;1
S080501_500_30_EUR;4
